Account,SMP,MPI,GPU,HTC,CurrentProposal,ProposalAmount,Sum
jnewman,10000,0,0,0,10000,0,0
ialdiri,10000,0,0,0,10000,0,0
hturnquist,10000,0,0,0,10000,0,0
mrebeiz,10000,0,0,0,10000,0,0
jfan,10000,0,0,0,10000,0,0
mcoutanche,10000,0,0,0,10000,0,0
kashley,0,0,0,10000,10000,0,0
tbilliar,0,0,0,10000,10000,0,0
svelankar,75000,0,0,0,75000,75000,75000
svisweswaran,202000,0,0,0,202000,202000,202000
rgaunt,10000,0,0,0,10000,0,0
asantanasto,0,0,0,10000,10000,0,0
dkostka,10000,0,0,0,10000,0,0
blu,0,0,0,10000,10000,0,0
hsingh,20000,20000,0,100000,140000,140000,140000
ageorge,10000,0,0,0,10000,0,0
mcc,10000,0,0,0,10000,0,0
jpu,0,0,50000,0,50000,50000,50000
dswigon,858000,0,0,0,858000,858000,858000
cdonnelly,10000,0,0,0,10000,0,0
mlavin,10000,0,0,0,10000,0,0
gveser,10000,0,0,0,10000,0,0
kkohl,10000,0,0,0,10000,0,0
pgaldi,10000,0,0,0,10000,0,0
jbuchanich,10000,0,0,0,10000,0,0
yliu,10000,0,0,0,10000,0,0
lroberts,10000,0,0,0,10000,0,0
rbataller,0,0,0,65000,65000,65000,65000
thand,10000,0,0,0,10000,0,0
sasher,10000,0,0,0,10000,0,0
makcakaya,10000,0,0,0,10000,0,0
jstephenson,10000,0,0,0,10000,0,0
sstepp,10000,0,0,0,10000,0,0
yzhang,10000,0,0,0,10000,0,0
lbyrne,10000,0,0,0,10000,0,0
sabramowitch,75000,1100000,0,0,1200000,1175000,1175000
kbeschorner,10000,0,0,0,10000,0,0
zxia,10000,0,0,0,10000,0,0
jleader,10000,0,0,0,10000,0,0
schaparala,10000,0,0,0,10000,0,0
dlandsittel,10000,0,0,0,10000,0,0
leb140g,10000,0,0,0,10000,0,0
aray,10000,0,0,0,10000,0,0
jelmer,10000,0,0,0,10000,0,0
mhatridge,10000,0,0,0,10000,0,0
me1071-2019s,100000,0,0,0,300000,100000,100000
aodonnell,0,0,0,10000,10000,0,0
rseal,0,0,0,10000,10000,0,0
cliu,10000,0,0,0,10000,0,0
jalcorn,0,0,0,10000,10000,0,0
asilva,10000,0,0,0,10000,0,0
hugen2070-2019f,100000,0,0,0,20000,100000,100000
dsnoke,10000,0,0,0,10000,0,0
klim,10000,0,0,0,10000,0,0
bioeng1370_2019f,100000,0,0,0,100000,100000,100000
ssammak,10000,0,0,0,10000,0,0
cmpinfo010-2019f,10000,0,0,0,10000,0,0
che2201-2019f,100000,0,0,0,100000,100000,100000
ece2192_2019f,100000,0,0,0,50000,100000,100000
cwang-erickson,10000,0,0,0,10000,0,0
iheelee,10000,0,0,0,10000,0,0
che2550_2019f,100000,0,0,0,100000,100000,100000
bnindl,10000,0,0,0,10000,0,0
gkohanbash,30000,0,0,0,30000,30000,30000
bhu,0,0,0,10000,10000,0,0
eowen,10000,0,0,0,10000,0,0
hszaborogers,0,0,0,10000,10000,0,0
rliu,0,0,0,10000,10000,0,0
pfloreancig,10000,0,0,0,10000,0,0
rbezanson,500000,3200000,0,0,3700000,3700000,3700000
rhsanchez,1000000,0,0,0,1000000,1000000,1000000
sagnihotri,10000,0,0,0,10000,0,0
thuppert,728000,0,0,0,728000,728000,728000
jenwright,0,0,0,10000,10000,0,0
rbao,0,0,0,500000,500000,500000,500000
fshah,10000,0,0,0,10000,0,0
aswiatecka-urban,0,0,0,10000,10000,0,0
pdutta,10000,0,0,0,10000,0,0
pszabolcs,0,0,0,10000,10000,0,0
usachdev,0,0,0,10000,10000,0,0
btaylor,0,0,0,10000,10000,0,0
prizzo,30000,0,0,0,30000,30000,30000
smonga,10000,0,0,0,10000,0,0
tkuwajima,10000,0,0,0,10000,0,0
ayatsenko,10000,0,0,0,10000,0,0
sgaffen,0,0,0,10000,10000,0,0
ekershaw,10000,0,0,0,10000,0,0
ynikiforov,0,0,0,10000,10000,0,0
ece2165-2019f,100000,0,0,0,75000,100000,100000
rgottschalk,10000,0,0,0,10000,0,0
mbrogers,0,0,0,10000,10000,0,0
fmayr,0,0,0,10000,10000,0,0
brousseau,10000,0,0,0,10000,0,0
slu,0,0,0,10000,10000,0,0
sli,0,0,0,10000,10000,0,0
mscbio2065_2019f,10000,0,0,0,10000,0,0
kkernan,10000,0,0,0,10000,0,0
liuy,10000,0,0,0,10000,0,0
shastings,10000,0,0,0,10000,0,0
vliu,0,1240000,0,0,1240000,1240000,1240000
sfrolov,0,224000,0,0,224000,224000,224000
bchandrasekaran,10000,0,0,0,10000,0,0
rgmiller,10000,0,0,0,10000,0,0
dgomez,0,0,0,10000,10000,0,0
ukammula,0,0,0,10000,10000,0,0
agough,0,0,0,10000,10000,0,0
dyimlamai,0,0,0,10000,10000,0,0
jcook,0,0,0,10000,10000,0,0
aghuman,0,0,0,10000,10000,0,0
hsantosa,10000,0,0,0,10000,0,0
ldcruz,10000,0,0,0,10000,0,0
nrosi,10000,0,0,0,10000,0,0
apuccio,10000,0,0,0,10000,0,0
bchen,10000,0,0,0,10000,0,0
dshin,10000,0,0,0,10000,0,0
me2075-1010f,10000,0,0,0,10000,0,0
stephenlee,10000,0,0,0,10000,0,0
ishrivastava,10000,0,0,0,10000,0,0
tlezon,10000,0,0,0,10000,0,0
tgreenberg,10000,0,0,0,10000,0,0
mshlomchik,0,0,0,10000,10000,0,0
hkarimi,0,0,0,10000,10000,0,0
yoelsadovsky,10000,0,0,0,10000,0,0
etbell,10000,0,0,0,10000,0,0
rbuckanovich,10000,0,0,0,10000,0,0
lfalo,10000,0,0,0,10000,0,0
qmi,10000,0,0,0,10000,0,0
lkane,10000,0,0,0,10000,0,0
elagasse,0,0,0,10000,10000,0,0
jmcdyer,10000,0,0,0,10000,0,0
cs1699-2020s,0,0,0,10000,10000,0,0
cs2770-2020s,0,0,0,10000,10000,0,0
biosc1542-2020s,100000,0,0,0,50000,100000,100000
jbwang,0,0,0,10000,10000,0,0
xtang,10000,0,0,0,10000,0,0
econ2270-2020s,10000,0,0,0,10000,0,0
jmyuan,10000,0,0,0,10000,0,0
athomson,10000,0,0,0,10000,0,0
sgao,0,0,0,10000,10000,0,0
ece2166_2020s,100000,0,0,0,80000,100000,100000
greed,10000,0,0,0,10000,0,0
jhowell,10000,0,0,0,10000,0,0
lpage,10000,0,0,0,10000,0,0
qliu,10000,0,0,0,10000,0,0
lkonnikova,0,0,0,10000,10000,0,0
xqin,10000,0,0,0,10000,0,0
nhukriede,0,0,0,10000,10000,0,0
fschopfer,0,0,0,10000,10000,0,0
fcyeh,10000,0,0,0,10000,0,0
thooven,0,0,0,10000,10000,0,0
msteinhauser,10000,0,0,0,10000,0,0
pbenos,10000,0,0,0,10000,0,0
djishnu,10000,0,0,0,10000,0,0
qimingwang,0,0,0,10000,10000,0,0
prandhawa,0,0,0,10000,10000,0,0
dkass,0,0,0,10000,10000,0,0
dvtyne,10000,0,0,0,10000,0,0
agregory,10000,0,0,0,10000,0,0
capetrei,10000,0,0,0,10000,0,0
flakkis,10000,0,0,0,10000,0,0
broman,10000,0,0,0,10000,0,0
astleger,10000,0,0,0,10000,0,0
sswamynathan,10000,0,0,0,10000,0,0
sshapiro,10000,0,0,0,10000,0,0
qpadiath,10000,0,0,0,10000,0,0
jbecker,10000,0,0,0,10000,0,0
pkinchington,10000,0,0,0,10000,0,0
uparikh,10000,0,0,0,10000,0,0
sahmari,10000,0,0,0,10000,0,0
tlozito,10000,0,0,0,10000,0,0
ifox,10000,0,0,0,10000,0,0
hwang,10000,0,0,0,10000,0,0
mboyiadzis,10000,0,0,0,10000,0,0
sito,10000,0,0,0,10000,0,0
jvockley,0,0,0,10000,10000,0,0
xhu,10000,0,0,0,10000,0,0
plucas,10000,0,0,0,10000,0,0
czawacki,10000,0,0,0,10000,0,0
bkuhn,10000,0,0,0,10000,0,0
msnyder,10000,0,0,0,10000,0,0
wshlomchik,10000,0,0,0,10000,0,0
rosullivan,10000,0,0,0,10000,0,0
jbomberger,10000,0,0,0,10000,0,0
bmethe,10000,0,0,0,10000,0,0
fhoma,10000,0,0,0,10000,0,0
aghazi,10000,0,0,0,10000,0,0
fdemirci,10000,0,0,0,10000,0,0
mgauthier,10000,0,0,0,10000,0,0
jcheng,10000,0,0,0,10000,0,0
cimes,10000,0,0,0,10000,0,0
jbina,10000,0,0,0,10000,0,0
rhinterleitner,10000,0,0,0,10000,0,0
hssc_chp,0,0,0,10000,10000,0,0
zambrose,10000,0,0,0,10000,0,0
rjha,10000,0,0,0,10000,0,0
rmcenaney,10000,0,0,0,10000,0,0
kweiss,10000,0,0,0,10000,0,0
bkaufman,10000,0,0,0,10000,0,0
ywu,10000,0,0,0,10000,0,0
anewman,10000,0,0,0,10000,0,0
ssarkar,10000,0,0,0,10000,0,0
dsinha,10000,0,0,0,10000,0,0
dkaplan,10000,0,0,0,10000,0,0
kislam,10000,0,0,0,10000,0,0
chilaire,10000,0,0,0,10000,0,0
tchu,10000,0,0,0,10000,0,0
scanna,10000,0,0,0,10000,0,0
czou,10000,0,0,0,10000,0,0
ccoyne,10000,0,0,0,10000,0,0
ilefterov,10000,0,0,0,10000,0,0
dlee,10000,0,0,0,10000,0,0
upandey,10000,0,0,0,10000,0,0
mladi,10000,0,0,0,10000,0,0
sdasilva,10000,0,0,0,10000,0,0
dma,10000,0,0,0,10000,0,0
andrewduncan,10000,0,0,0,10000,0,0
cbyersdorfer,10000,0,0,0,10000,0,0
dmetes,10000,0,0,0,10000,0,0
vyechoor,10000,0,0,0,10000,0,0
cbakkenist,10000,0,0,0,10000,0,0
nvo,10000,0,0,0,10000,0,0
psmolinski,10000,0,0,0,10000,0,0
tdermody,10000,0,0,0,10000,0,0
popresko,10000,0,0,0,10000,0,0
mlotze,10000,0,0,0,10000,0,0
pmoore,10000,0,0,0,10000,0,0
dgeller,10000,0,0,0,10000,0,0
qyan,10000,0,0,0,10000,0,0
innovation-institute,10000,0,0,0,10000,0,0
jeisses,10000,0,0,0,10000,0,0
wxie,10000,0,0,0,10000,0,0
jluke,10000,0,0,0,10000,0,0
kfrahm,10000,0,0,0,10000,0,0
kshair,10000,0,0,0,10000,0,0
amahajan,10000,0,0,0,10000,0,0
ddefranco,10000,0,0,0,10000,0,0
kempey,10000,0,0,0,10000,0,0
rtan,10000,0,0,0,10000,0,0
pmorel,10000,0,0,0,10000,0,0
mtsang,10000,0,0,0,10000,0,0
egoncharova,10000,0,0,0,10000,0,0
whorne,10000,0,0,0,10000,0,0
xwen,10000,0,0,0,10000,0,0
gthomas,10000,0,0,0,10000,0,0
skiani,10000,0,0,0,10000,0,0
yarbely,0,0,0,10000,10000,0,0
lkhazanovich,10000,0,0,0,10000,0,0
ydoi,10000,0,0,0,10000,0,0
jross,10000,0,0,0,10000,0,0
jburkardt,10000,0,0,0,10000,0,0
hugen2026-2020s,10000,0,0,0,10000,0,0
cblanco,10000,0,0,0,10000,0,0
llin,10000,0,0,0,10000,0,0
ssant,10000,0,0,0,10000,0,0
ybunimovich,10000,0,0,0,10000,0,0
yjiang,10000,0,0,0,10000,0,0
dpatterson,10000,0,0,0,10000,0,0
pcohen,10000,0,0,0,10000,0,0
wiser,10000,0,0,0,10000,0,0
kbein,10000,0,0,0,10000,0,0
kfan,0,0,0,10000,10000,0,0
dzandberg,10000,0,0,0,10000,0,0
hbadrane,0,0,0,10000,10000,0,0
ling1340-2020s,0,0,0,10000,10000,0,0
jcatov,10000,0,0,0,10000,0,0
qixingliu,10000,0,0,0,10000,0,0
stavakoli,10000,0,0,0,10000,0,0
phdl,100000,0,0,0,100000,100000,100000
jlaaser,10000,0,0,0,47000,0,0
jcape,10000,0,0,0,10000,0,0
nbajaj,10000,0,0,0,10000,0,0
wruder,10000,0,0,0,10000,0,0
kkonstantinos,10000,0,0,0,10000,0,0
wdepas,10000,0,0,0,10000,0,0
cfernandez,10000,0,0,0,10000,0,0
lweiss,0,0,0,10000,10000,0,0
pstrick,10000,0,0,0,10000,0,0
schang,10000,0,0,0,10000,0,0
kprasad,10000,0,0,0,10000,0,0
cs1645-2020s,10000,0,0,0,10000,0,0
jsilverstein,250000,0,0,0,250000,250000,250000
rairik,10000,0,0,0,10000,0,0
arjunc,10000,0,0,0,10000,0,0
tsuber,10000,0,0,0,10000,0,0
hgomez,10000,0,0,0,10000,0,0
mebrahimkani,10000,0,0,0,10000,0,0
eschneider,10000,0,0,0,10000,0,0
gcamirand,10000,0,0,0,10000,0,0
avieira,10000,0,0,0,10000,0,0
swhitley,10000,0,0,0,10000,0,0
jcarlson,0,0,0,10000,10000,0,0
ncremer,10000,0,0,0,10000,0,0
khornbostel,10000,0,0,0,10000,0,0
mpinsky,10000,0,0,0,10000,0,0
anamora,10000,0,0,0,10000,0,0
mpecina,0,0,0,10000,10000,0,0
zhang3,10000,0,0,0,10000,0,0
slittle,10000,0,0,0,10000,0,0
bbrown,10000,0,0,0,10000,0,0
jyurko,10000,0,0,0,10000,0,0
mrfrank,0,0,0,10000,10000,0,0
lanauze,0,0,0,10000,10000,0,0
adombrovski,50000,0,0,0,50000,50000,50000
wallyyi,10000,0,0,0,10000,0,0
hliu,10000,0,0,0,10000,0,0
tgelsy,10000,0,0,0,60000,0,0
arahimian,10000,0,0,0,10000,0,0
linc,10000,0,0,0,10000,0,0
cperfetti,10000,0,0,0,10000,0,0
jjoshi,10000,0,0,0,10000,0,0
csfeir,10000,0,0,0,10000,0,0
korwig,0,0,0,10000,10000,0,0
pstephanie,10000,0,0,0,10000,0,0
shrec-surg-2020,100000,0,0,0,50000,100000,100000
tlevin,10000,0,0,0,10000,0,0
crivka,10000,0,0,0,10000,0,0
root,10000,0,0,0,10000,0,0
mmarlies,10000,0,0,0,10000,0,0
nbrouwer,10000,0,0,0,10000,0,0
pgunarathne,10000,0,0,0,10000,0,0
sfarris,10000,0,0,0,10000,0,0
balbanna,10000,0,0,0,10000,0,0
mgoplerud,10000,0,0,0,10000,0,0
ljianhua,10000,0,0,0,10000,0,0
lmcallister,0,0,0,10000,10000,0,0
slamitina,0,0,0,10000,10000,0,0
khostler,0,0,10000,0,10000,0,0
pmayo,0,0,0,10000,10000,0,0
lzhang,0,0,0,10000,10000,0,0
jyanowitz,0,0,0,10000,10000,0,0
ece2192-2020f,50000,0,0,0,50000,0,0
ckliment,0,0,0,10000,10000,0,0
mschmidt,0,0,0,10000,10000,0,0
bzhu,0,0,0,10000,10000,0,0
lbodnar,0,0,0,10000,10000,0,0
dhafeman,0,0,0,10000,10000,0,0
pchrysanthis,10000,0,0,0,10000,0,0
malikhani,10000,0,0,0,10000,0,0
